sample_id,run_wxs,run_rrbs
AML_074_Dx,SRR3088188,SRR3088187
AML_074_Rel,SRR3088191,SRR3088190
AML_075_Dx,SRR3088193,SRR3088192
AML_075_Rel,SRR3088196,SRR3088195
AML_078_Dx,SRR3088202,SRR3088201
AML_078_Rel,SRR3088205,SRR3088204
AML_079_Dx,SRR3088207,SRR3088206
AML_079_Rel,SRR3088210,SRR3088209
AML_080_Dx,SRR3088212,SRR3088211
AML_080_Rel,SRR3088215,SRR3088214
AML_081_Dx,SRR3088217,SRR3088216
AML_081_Rel,SRR3088220,SRR3088219
AML_082_Dx,SRR3088222,SRR3088221
AML_082_Rel,SRR3088225,SRR3088224
AML_083_Dx,SRR3088227,SRR3088226
AML_083_Rel,SRR3088230,SRR3088229
AML_084_Dx,SRR3088232,SRR3088231
AML_084_Rel,SRR3088235,SRR3088234
AML_086_Dx,SRR3088242,SRR3088241
AML_086_Rel,SRR3088245,SRR3088244
AML_088_Dx,SRR3088249,SRR3088248
AML_088_Rel,SRR3088252,SRR3088251
AML_089_Dx,SRR3088254,SRR3088253
AML_089_Rel,SRR3088257,SRR3088256
AML_090_Dx,SRR3088259,SRR3088258
AML_090_Rel,SRR3088262,SRR3088261
AML_091_Dx,SRR3088264,SRR3088263
AML_091_Rel,SRR3088267,SRR3088266
AML_092_Dx,SRR3088269,SRR3088268
AML_092_Rel,SRR3088272,SRR3088271
AML_093_Dx,SRR3088274,SRR3088273
AML_093_Rel,SRR3088277,SRR3088276
AML_094_Dx,SRR3088279,SRR3088278
AML_094_Rel,SRR3088282,SRR3088281
AML_095_Dx,SRR3088284,SRR3088283
AML_095_Rel,SRR3088287,SRR3088286
AML_096_Dx,SRR3088289,SRR3088288
AML_096_Rel,SRR3088292,SRR3088291
AML_097_Dx,SRR3088294,SRR3088293
AML_097_Rel,SRR3088297,SRR3088296
AML_098_Dx,SRR3088299,SRR3088298
AML_098_Rel,SRR3088302,SRR3088301
AML_099_Dx,SRR3088304,SRR3088303
AML_099_Rel,SRR3088307,SRR3088306
AML_100_Dx,SRR3088309,SRR3088308
AML_100_Rel,SRR3088312,SRR3088311
AML_101_Dx,SRR3088314,SRR3088313
AML_101_Rel,SRR3088317,SRR3088316
AML_102_Dx,SRR3088319,SRR3088318
AML_102_Rel,SRR3088322,SRR3088321
AML_103_Dx,SRR3088325,SRR3088323
AML_103_Rel,SRR3088329,SRR3088327
AML_104_Dx,SRR3088331,SRR3088330
AML_104_Rel,SRR3088334,SRR3088333
AML_105_Dx,SRR3088336,SRR3088335
AML_105_Rel,SRR3088339,SRR3088338
AML_106_Dx,SRR3088341,SRR3088340
AML_106_Rel,SRR3088344,SRR3088343
AML_108_Dx,SRR3088351,SRR3088349
AML_108_Rel,SRR3088355,SRR3088353
AML_109_Dx,SRR3088358,SRR3088356
AML_109_Rel,SRR3088362,SRR3088360
AML_110_Dx,SRR3088364,SRR3088363
AML_110_Rel,SRR3088367,SRR3088366
AML_111_Dx,SRR3088369,SRR3088368
AML_111_Rel,SRR3088372,SRR3088371
AML_113_Dx,SRR3088376,SRR3088375
AML_113_Rel,SRR3088379,SRR3088378
AML_114_Dx,SRR3088381,SRR3088380
AML_114_Rel,SRR3088384,SRR3088383
AML_115_Dx,SRR3088386,SRR3088385
AML_115_Rel,SRR3088389,SRR3088388
AML_116_Dx,SRR3088392,SRR3088390
AML_116_Rel,SRR3088396,SRR3088394
AML_119_Dx,SRR3088404,SRR3088403
AML_119_Rel,SRR3088407,SRR3088406
AML_121_Dx,SRR3088411,SRR3088410
AML_121_Rel,SRR3088414,SRR3088413
AML_123_Dx,SRR3088418,SRR3088417
AML_123_Rel,SRR3088421,SRR3088420
AML_124_Dx,SRR3088424,SRR3088422
AML_124_Rel,SRR3088428,SRR3088426
AML_126_Dx,SRR3088434,SRR3088433
AML_126_Rel,SRR3088437,SRR3088436
AML_127_Dx,SRR3088439,SRR3088438
AML_127_Rel,SRR3088442,SRR3088441
AML_128_Dx,SRR3088445,SRR3088443
AML_128_Rel,SRR3088449,SRR3088447
AML_133_Dx,SRR3088565,SRR3088563
AML_133_Rel,SRR3088569,SRR3088567
AML_135_Dx,SRR3088573,SRR3088572
AML_135_Rel,SRR3088576,SRR3088575
AML_139_Dx,SRR3088585,SRR3088583
AML_139_Rel,SRR3088589,SRR3088587
