,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
const,0.04329103670509993,0.0034815510884990183,12.434410871668051,4.2535521746225775e-20,0.036358382798310225,0.05022369061188963
DNMT3A_INS,0.009502694354170615,0.00351918951958269,2.700250810958728,0.008515404736132198,0.0024950927560603332,0.016510295952280898
DNMT3A_Other,-0.008309788241027849,0.0025621900480012763,-3.243236483378812,0.0017485478113077888,-0.013411760435229288,-0.0032078160468264096
DNMT3A_R882,-0.009347566721095647,0.002513704037511471,-3.7186425217940915,0.00037827383572820484,-0.014352990933807689,-0.0043421425083836045
ABL1,-0.005458625545931836,0.0028931302185266493,-1.8867541844389177,0.06296295314521809,-0.0112195838092119,0.00030233271734822834
ASXL1,-0.0016310130628464274,0.0019375414363171706,-0.8417951906858908,0.4025094948417829,-0.005489150963629655,0.0022271248379368007
BCR,0.000273498531035666,0.0029359546291845093,0.09315489017336516,0.9260224700416197,-0.005572734028185054,0.006119731090256387
CEBPA-sm,0.0057960639886468785,0.002814450709550379,2.059394385191711,0.04283694607160688,0.0001917766434212714,0.011400351333872485
CEBPA-dm,0.002905096739636452,0.004811069512305599,0.6038359521112486,0.5477275919142117,-0.006674966571943946,0.01248516005121685
EP300,-0.0030885522371709804,0.002485854462147817,-1.242450949643457,0.21784080873535858,-0.00803852086053807,0.0018614163861961092
EZH2,0.002242725030067866,0.0027948640636523917,0.802445120403109,0.4247653279459068,-0.003322560320427821,0.007808010380563553
FLT3,0.003868836675819938,0.002331428625090098,1.6594274575617456,0.10109754481816574,-0.0007736308207867181,0.008511304172426595
IDH1,-0.004219356521181925,0.0025680663822113996,-1.6430091334121104,0.10445875401017024,-0.009333029991706435,0.0008943169493425837
IDH2,0.0058158188432317,0.002041602554001103,2.848653785152229,0.005628466189456079,0.0017504687844998043,0.009881168901963597
KIT,-0.000503120832806141,0.002688099985761367,-0.18716596684317122,0.8520228058968096,-0.0058558117439609664,0.004849570078348684
KRAS,0.004333026464631405,0.003296042866625545,1.314614718305382,0.19254165827561723,-0.00223023338002285,0.01089628630928566
MET,0.007146891579567378,0.0028697380335608092,2.490433445835967,0.014912629522080872,0.001432513107411877,0.01286127005172288
NPM1,0.004955536959567297,0.0027874402549510316,1.7778092107141337,0.07938338339305549,-0.0005949656992233167,0.010506039618357912
NRAS,0.005069910182832391,0.0027979065166796333,1.812037018609549,0.0738791085867027,-0.0005014334656257202,0.010641253831290502
RUNX1,0.0045431842794621015,0.0020421002167338048,2.2247606861961966,0.02902550752606563,0.0004768432476264274,0.008609525311297776
SMO,0.009224470510619934,0.002408729193613156,3.829600494351542,0.0002599574936637357,0.004428077917196882,0.014020863104042986
SRSF2,0.0059325428151799885,0.0025296233089934614,2.3452277633939698,0.02159217370855136,0.0008954192831624108,0.010969666347197565
TET1,-0.0018197742268794802,0.004091556133224212,-0.4447633535081111,0.6577384817263245,-0.009967103360020305,0.006327554906261345
TET2,-0.00020432876357786428,0.001786625128346912,-0.11436577283949934,0.9092455361226399,-0.0037619539028208456,0.003353296375665117
TP53,0.002938563836673208,0.003631558683769266,0.8091742671835926,0.42090825876706484,-0.0042927933534989485,0.010169921026845365
TSC1,-0.006963744976857371,0.00563610801426347,-1.2355591765157818,0.2203788829263177,-0.018186669831600145,0.004259179877885404
WT1,0.0045002911768904415,0.0022687658055864346,1.9835855978652668,0.05086691228847125,-1.7398704969271393e-05,0.009017981058750155
is_aml,0.010100052432385561,0.002365992825155415,4.268843220909649,5.544884450481688e-05,0.005388758820485224,0.0148113460442859
is_relapse,0.00338244574863179,0.001443147591184345,2.343797522369784,0.021669449439426242,0.0005087717648869093,0.006256119732376671
age,3.442693767294503e-05,4.881534808019695e-05,0.7052482267746258,0.48278378978236025,-6.277683874079639e-05,0.00013163071408668644
sex_F,0.005443747600817966,0.0014610160733717857,3.7260011714003176,0.00036905354423595214,0.0025344929233833175,0.008353002278252615
